,kepoi_name,koi_prad,koi_insol,koi_score,size_category
8817,K06863.01,0.95,4.2,1.0,earth-like
0,K00752.01,2.26,93.59,1.0,super-earth-like
7612,K03371.02,1.0,50.05,1.0,earth-like
4,K00755.01,2.75,926.16,1.0,super-earth-like
5,K00756.01,3.9,114.81,1.0,neptune-like
7217,K03954.02,1.92,196.51,1.0,super-earth-like
7210,K06186.01,1.72,96.47,1.0,super-earth-like
7153,K05875.01,2.64,238.98,1.0,super-earth-like
6810,K05466.01,1.75,374.3,1.0,super-earth-like
52,K00115.02,1.79,233.31,1.0,super-earth-like
51,K00116.01,2.64,89.61,1.0,super-earth-like
50,K00788.01,3.07,13.49,1.0,neptune-like
49,K00787.02,3.95,99.68,1.0,neptune-like
48,K00787.01,3.25,351.23,1.0,neptune-like
47,K00786.01,1.89,408.99,1.0,super-earth-like
45,K00767.01,12.21,521.13,1.0,Gas-Giant
44,K00766.01,4.43,565.35,1.0,neptune-like
43,K00765.01,2.52,91.9,1.0,super-earth-like
41,K00115.01,2.94,337.68,1.0,super-earth-like
39,K00762.01,2.1,389.62,1.0,super-earth-like
35,K00759.01,3.36,15.55,1.0,neptune-like
34,K00758.01,3.1,29.31,1.0,neptune-like
33,K00757.03,2.65,108.3,1.0,super-earth-like
76,K00790.01,2.59,75.44,1.0,super-earth-like
74,K00800.02,3.32,260.58,1.0,neptune-like
73,K00800.01,3.12,960.79,1.0,neptune-like
69,K00785.01,2.66,49.68,1.0,super-earth-like
68,K00784.02,1.91,13.43,1.0,super-earth-like
67,K00784.01,1.93,5.66,1.0,super-earth-like
66,K00783.01,4.86,113.64,1.0,neptune-like
65,K00782.01,5.31,251.38,1.0,neptune-like
64,K00781.01,2.65,5.82,1.0,super-earth-like
61,K00780.01,2.34,311.16,1.0,super-earth-like
59,K00778.01,1.99,107.6,1.0,super-earth-like
57,K00776.01,6.02,258.34,1.0,Gas-Giant
56,K00775.03,1.99,2.88,1.0,super-earth-like
55,K00775.02,2.16,22.18,1.0,super-earth-like
54,K00775.01,2.0,8.35,1.0,super-earth-like
104,K00811.01,3.41,17.06,1.0,neptune-like
102,K00809.01,11.3,1329.42,1.0,Gas-Giant
96,K00806.01,8.9,2.14,1.0,Gas-Giant
91,K00801.01,9.73,1467.41,1.0,Gas-Giant
89,K00813.01,7.34,241.62,1.0,Gas-Giant
86,K00812.03,1.83,1.32,1.0,super-earth-like
85,K00812.02,1.96,4.0,1.0,super-earth-like
82,K00795.01,2.77,102.87,1.0,super-earth-like
81,K00794.01,2.06,743.09,1.0,super-earth-like
78,K00791.01,7.4,76.15,1.0,Gas-Giant
6437,K05245.01,3.06,93.79,1.0,neptune-like
6180,K05178.01,1.24,789.48,1.0,earth-like
6080,K00577.02,0.91,2928.31,1.0,earth-like
6020,K03138.01,0.49,0.47,1.0,earth-like
6010,K01658.01,13.43,3765.46,1.0,Gas-Giant
5907,K00266.01,1.77,60.2,1.0,super-earth-like
5904,K04016.01,3.14,1.18,1.0,neptune-like
5903,K04015.01,2.67,1.94,1.0,super-earth-like
5853,K03935.01,1.29,1880.33,1.0,earth-like
5851,K03933.01,1.32,245.65,1.0,earth-like
127,K00826.01,2.44,165.33,1.0,super-earth-like
126,K00825.02,1.46,108.84,1.0,earth-like
125,K00825.01,2.11,52.82,1.0,super-earth-like
124,K00824.01,11.01,30.54,1.0,Gas-Giant
121,K00821.01,3.38,39.33,1.0,neptune-like
116,K00818.01,2.1,10.55,1.0,super-earth-like
114,K00817.01,1.8,2.77,1.0,super-earth-like
113,K00816.01,5.52,204.39,1.0,neptune-like
110,K00829.03,4.02,21.71,1.0,neptune-like
108,K00117.02,1.7,598.74,1.0,super-earth-like
107,K00829.01,3.12,57.13,1.0,neptune-like
105,K00812.01,2.03,43.73,1.0,super-earth-like
150,K00851.01,5.39,274.98,1.0,neptune-like
147,K00837.02,1.48,132.08,1.0,earth-like
146,K00837.01,2.25,55.37,1.0,super-earth-like
143,K00835.01,2.35,33.99,1.0,super-earth-like
140,K00834.04,1.62,1718.04,1.0,super-earth-like
133,K00841.02,6.5,12.61,1.0,Gas-Giant
131,K00841.01,5.0,32.67,1.0,neptune-like
130,K00840.01,8.99,257.29,1.0,Gas-Giant
5762,K02163.02,1.6,66.87,1.0,super-earth-like
5757,K02806.01,2.1,13.7,1.0,super-earth-like
5755,K02793.01,1.93,19.34,1.0,super-earth-like
5750,K01804.01,5.1,82.73,1.0,neptune-like
5737,K03984.01,2.03,2479.44,1.0,super-earth-like
5733,K02742.01,0.91,564.46,1.0,earth-like
5721,K01981.01,1.61,1761.19,1.0,super-earth-like
5696,K01846.01,3.79,2.59,1.0,neptune-like
5648,K01821.01,2.85,97.85,1.0,super-earth-like
169,K00869.03,2.32,24.6,1.0,super-earth-like
168,K00869.02,3.03,9.29,1.0,neptune-like
167,K00869.01,2.56,76.06,1.0,super-earth-like
165,K00867.01,3.68,33.43,1.0,neptune-like
164,K00849.01,2.47,86.22,1.0,super-earth-like
159,K00845.01,3.75,66.08,1.0,neptune-like
158,K00844.01,4.35,415.1,1.0,neptune-like
157,K00843.01,6.21,547.9,1.0,Gas-Giant
155,K00842.01,2.31,23.6,1.0,super-earth-like
153,K00853.02,3.01,33.48,1.0,neptune-like
152,K00853.01,3.01,71.5,1.0,neptune-like
5610,K03892.01,0.92,770.05,1.0,earth-like
5583,K02078.02,2.88,0.47,1.0,super-earth-like
5550,K02004.02,0.98,693.65,1.0,earth-like
5546,K01922.03,4.22,6.51,1.0,neptune-like
5517,K02076.02,6.11,2.27,1.0,Gas-Giant
5508,K02034.02,1.29,588.1,1.0,earth-like
5501,K01992.02,3.61,58.35,1.0,neptune-like
191,K00881.01,3.07,17.48,1.0,neptune-like
190,K00880.04,1.86,583.01,1.0,super-earth-like
189,K00880.03,2.43,173.74,1.0,super-earth-like
187,K00880.01,3.91,23.54,1.0,neptune-like
183,K00864.03,2.67,92.46,1.0,super-earth-like
182,K00864.02,2.69,35.44,1.0,super-earth-like
181,K00864.01,3.11,274.84,1.0,neptune-like
180,K00863.01,2.62,526.23,1.0,super-earth-like
178,K00861.01,1.41,427.17,1.0,earth-like
173,K00857.01,2.47,123.03,1.0,super-earth-like
5492,K03867.01,1.46,1874.28,1.0,earth-like
5467,K03864.01,0.99,784.51,1.0,earth-like
5425,K00435.04,1.5,399.84,1.0,earth-like
5405,K01972.02,1.0,3973.86,1.0,earth-like
5396,K03848.01,1.51,843.8,1.0,super-earth-like
5376,K03925.02,2.55,1147.44,1.0,super-earth-like
5355,K03916.01,1.9,105.25,1.0,super-earth-like
212,K00893.01,2.66,398.0,1.0,super-earth-like
211,K00892.02,1.78,229.37,1.0,super-earth-like
210,K00892.01,3.2,63.68,1.0,neptune-like
209,K00123.01,2.54,406.25,1.0,super-earth-like
208,K00878.01,3.16,13.34,1.0,neptune-like
205,K00877.02,2.18,15.06,1.0,super-earth-like
204,K00877.01,2.33,38.52,1.0,super-earth-like
200,K00874.01,2.35,152.91,1.0,super-earth-like
199,K00873.01,2.36,449.79,1.0,super-earth-like
198,K00872.02,1.97,120.48,1.0,super-earth-like
197,K00872.01,8.46,14.22,1.0,Gas-Giant
194,K00870.02,1.65,15.9,1.0,super-earth-like
193,K00870.01,1.73,27.72,1.0,super-earth-like
192,K00869.04,1.69,234.93,1.0,super-earth-like
233,K00904.01,1.85,177.19,1.0,super-earth-like
232,K00903.01,6.96,234.28,1.0,Gas-Giant
228,K00891.01,3.52,139.21,1.0,neptune-like
227,K00890.01,8.95,223.19,1.0,Gas-Giant
224,K00887.01,2.45,158.11,1.0,super-earth-like
222,K00886.02,1.29,5.74,1.0,earth-like
221,K00886.01,1.72,9.9,1.0,super-earth-like
220,K00884.03,1.74,209.79,1.0,super-earth-like
218,K00122.01,3.13,174.81,1.0,neptune-like
217,K00884.01,4.16,52.32,1.0,neptune-like
214,K00881.02,4.53,0.73,1.0,neptune-like
5338,K03685.02,1.57,206.88,1.0,super-earth-like
5335,K03683.01,9.17,4.93,1.0,Gas-Giant
5330,K03911.01,1.29,1356.76,1.0,earth-like
5311,K03678.01,9.09,3.39,1.0,Gas-Giant
5265,K01955.03,1.18,3071.95,1.0,earth-like
